Final Weight Matrix:
[4.144706, 2.7140312, 3.3552494, 1.4212215, 3.8749597, 1.3003848, 0.21898031]
[4.1675544, 1.5422714, 1.7775238, 1.2818015, 0.9603694, 0.82604855, 1.1681253]
[3.2188365, 1.9386232, 3.7241778, 4.9827375, 1.40465, 0.10477424, 0.9976202]
[3.3328485, 1.0392084, 2.1021078, 2.184204, 4.052716, 3.155177, 0.92419386]
[1.0857022, 2.304722, 2.3915915, 3.318081, 2.8688023, 3.8291266, 3.7722106]
[3.0993378, 0.3586018, 0.61493397, 3.0164542, 2.8334224, 3.8882318, 2.674545]
[1.915091, 0.6909764, 0.42384118, 0.6768796, 3.0032039, 1.2320695, 4.162148]
[4.0733757, 1.5940154, 3.2843008, 0.52801013, 1.6958559, 4.3365574, 1.4608014]
[0.43998182, 2.5376453, 4.918782, 4.61599, 3.8987234, 2.9878926, 0.649457]
[3.1994405, 4.750706, 2.3780031, 4.164136, 1.972099, 2.8302503, 1.5380698]
[3.8628483, 0.46563298, 0.35709321, 1.6356049, 3.303237, 4.356796, 1.3130167]
[3.8796532, 0.24910569, 4.196921, 1.716325, 0.48718065, 1.4703403, 1.6751522]
[4.0120687, 0.4076016, 1.4685657, 2.4365945, 2.7818232, 3.7334108, 0.77959657]
[0.9475824, 4.310706, 4.0534797, 4.297588, 3.6648657, 3.220432, 0.5598572]
[3.548958, 3.8792133, 1.9528947, 4.8435373, 1.0917482, 3.7631812, 3.7645814]
[1.6200393, 4.256484, 2.9443712, 2.5416853, 2.2376847, 1.5092256, 4.0770397]
[4.970829, 3.6318479, 4.4909263, 0.51452845, 1.7807558, 3.3043342, 4.6571274]
[2.0514653, 3.1141787, 0.10133743, 4.749278, 2.4574876, 1.8823224, 1.7245402]
[4.617448, 1.9533267, 2.8118367, 3.4920492, 0.18105239, 4.0662193, 1.0070577]

 

Accuracy: 9.523809%
